gallery,major,minor,featureid,url,,,,,,,
238,62411,3554,-1,-1,,,,,,,
240,38513,39341,50462,http://philamuseum.org/images/cad/mediaDecks/1948-39-2-ov.jpg,,,,,,,
241,15360,43243,92645,http://philamuseum.org/images/cad/mediaDecks/1999-130-1.jpg,,,,,,,
243,27267,31431,47105,http://philamuseum.org/images/cad/mediaDecks/1941-87-45.jpg,,,,,,,
245,12957,800,71401,http://philamuseum.org/images/cad/mediaDecks/1977-167-264-bw.jpg,,,,,,,
246,35379,31061,71398,http://philamuseum.org/images/cad/mediaDecks/1977-167-26v2-ov.jpg,,,,,,,
248,45025,41532,211505,http://philamuseum.org/images/cad/mediaDecks/1977-167-891-ov.jpg,,,,,,,
249,61334,5217,71469,http://philamuseum.org/images/cad/mediaDecks/1977-167-34-pma.jpg,,,,,,,
250,31307,29626,131080,http://philamuseum.org/images/cad/mediaDecks/2005-184-1.jpg,,,,,,,
251,26744,28360,101833,http://philamuseum.org/images/cad/mediaDecks/Cat1173a.jpg,,,,,,,
252,9105,5971,103004,http://philamuseum.org/images/cad/mediaDecks/E1972-2-1.jpg,,,,,,,
253,32413,6370,50151,"http://philamuseum.org/images/cad/mediaDecks/1946-6-1a,b-ov.jpg",,,,,,,
254,12253,33525,93559,http://philamuseum.org/images/cad/mediaDecks/1999-99-12.jpg,,,,,,,
256,22276,2430,102525,http://philamuseum.org/images/cad/mediaDecks/Cat716-ov.jpg,,,,,,,
257,46240,62214,43949,http://philamuseum.org/images/cad/mediaDecks/1930-1-107-ov.jpg,,,,,,,
259,34115,23913,86768,http://philamuseum.org/images/cad/mediaDecks/1991-9-2-ov.jpg,,,,,,,
260,34228,40121,194839,http://philamuseum.org/images/cad/mediaDecks/1962-100-1-ov.jpg,,,,,,,
261,32336,55322,-1,-1,,,,,,,
261,7931,28423,-1,-1,,,,,,,
262,53774,45232,66679,http://philamuseum.org/images/cad/mediaDecks/1971-207-7-ov.jpg,,,,,,,
263,41044,45746,103628,http://philamuseum.org/images/cad/mediaDecks/Inv2095-pma2016.jpg,,,,,,,
263,45310,15479,49996,http://philamuseum.org/images/cad/mediaDecks/1946-16-1-ov.jpg,,,,,,,
264,65375,47276,102484,http://philamuseum.org/images/cad/mediaDecks/Cat679-CX.jpg,,,,,,,
266,4927,42228,-1,-1,,,,,,,
267,13278,12974,47872,http://philamuseum.org/images/cad/mediaDecks/1942-90-1.jpg,,,,,,,
268,10394,39057,42056,http://philamuseum.org/images/cad/mediaDecks/1928-52-1view1.jpg,,,,,,,
269,57356,22831,49638,http://philamuseum.org/images/cad/mediaDecks/1945-49-1.jpg,,,,,,,
270,36931,57030,83373,http://philamuseum.org/images/cad/mediaDecks/1987-4-2a--dv2-ov.jpg,,,,,,,
271,27831,45386,116520,http://philamuseum.org/images/cad/mediaDecks/1960-60-3-dept.jpg,,,,,,,
272,55696,46763,39585,http://philamuseum.org/images/cad/mediaDecks/1908-686-ov.jpg,,,,,,,
273,3138,14253,101915,http://philamuseum.org/images/cad/mediaDecks/Cat173.jpg,,,,,,,
275,51968,32791,317005,http://philamuseum.org/images/cad/mediaDecks/2011-55-1v1-pma.jpg,,,,,,,
276,43128,53229,292545,http://philamuseum.org/images/cad/mediaDecks/2005-105-25-rec.jpg,,,,,,,
102_B,6559,5444,50794,1949-53-1-ov.jpg,,,,,,American Art,
102_T,46431,58402,-1,-1,,,,,,,
104_B,21346,27022,321684,http://philamuseum.org/images/cad/mediaDecks/2012-42-1-pma.jpg,,,,,,American Art,
104_M,16899,62283,-1,-1,,,,,,,
104_T,59237,64595,-1,-1,,,,,,,
107_B,55295,48606,102998,http://philamuseum.org/images/cad/mediaDecks/E1945-1-1-pma2017.jpg,,,,,,American Art,
107_T,463,18326,-1,-1,,,,,,,
111_T,47019,38242,102954,ttp://philamuseum.org/images/cad/mediaDecks/E1924-3-9-ov.jpg,,,,,,American Art,
113_B,12950,10658,171772,http://philamuseum.org/images/cad/mediaDecks/1963-160-205.jpg,,,,,,,
113_T,52445,1882,-1,-1,,,,,,American Art ,*This gallery seems to have only objects.
116_B,9118,45390,34120,http://philamuseum.org/images/cad/mediaDecks/2007-65-3-pma-CX.jpg,,,,,,,
116_T,31078,60028,-1,-1,,,,,,American Art,
118_B,46090,39180,42492,http://philamuseum.org/images/cad/mediaDecks/1929-184-11.jpg,,,,,,,
118_T,58765,32672,-1,-1,,,,,,,
119_B,15702,53036,-1,-1,,,,,,American Art,no object IDs
119_T,59725,4178,-1,-1,,,,,,,
120_L,22082,49544,-1,-1,,,,,,American Art,No object IDs
120_R,52040,39867,-1,-1,,,,,,,
152_L,18227,2502,102891,http://philamuseum.org/images/cad/mediaDecks/E1924-3-32-CX.jpg,,,,,,European Art 1850 - 1900,
152_R,48037,64878,-1,-1,,,,,,,
153_L,63736,593,101707,http://philamuseum.org/images/cad/mediaDecks/Cat1027-pma.jpg,,,,,,European Art 1850 - 1900,
153_R,23531,25040,-1,-1,,,,,,,
155_L,10160,17019,102742,http://philamuseum.org/images/cad/mediaDecks/Cat908-pma.jpg,,,,,,European Art 1850-1900,
155_R,51621,20560,-1,-1,,,,,,,
157_L,12257,16232,72108,http://philamuseum.org/images/cad/mediaDecks/1978-1-22-CX.jpg,,,,,,European Art 1850-1900,
157_R,20744,42967,-1,-1,,,,,,,
161_B,3977,10524,59213,http://philamuseum.org/images/cad/mediaDecks/1963-116-9-pma.jpg,,,,,,,
161_L,6727,55933,-1,-1,,,,,,,
161_R,38400,63816,-1,-1,,,,,,,
161_T,9943,704,-1,-1,,,,,,,
162_L,61406,54215,103008,http://philamuseum.org/images/cad/mediaDecks/E1975-1-1.jpg,,,,,,European Art 1850-1900,
162_R,49334,32753,-1,-1,,,,,,,
164_B,65120,64705,82555,http://philamuseum.org/images/cad/mediaDecks/1986-26-1-CX.jpg,,,,,,,
164_T,39353,30744,-1,-1,,,,,,,
165_L,21678,63126,82776,http://philamuseum.org/images/cad/mediaDecks/1986-26-32-CX.jpg,,,,,,,
165_R,18067,4962,-1,-1,,,,,,,
165a,6977,11631,63311,http://philamuseum.org/images/cad/mediaDecks/1967-30-59.jpg,,,,,,European Art 1850-1900,
167a,35486,28536,50128,http://philamuseum.org/images/cad/mediaDecks/1950-134-113.jpg,,,,,,Modern and Contemporary Art,
169_B,1733,22862,-1,-1,,,,,,,
169_T,10950,16389,-1,-1,,,,,,,
172_B,11401,38471,51698,http://philamuseum.org/images/cad/mediaDecks/1950-134-94-CX.jpg,,,,,,Modern and Contemporary Art,
172_M,53207,25441,-1,-1,,,,,,,
172_T,45381,11968,-1,-1,,,,,,,
174_B,19991,6934,-1,-1,,,,,,,
174_T,45895,14975,-1,-1,,,,,,,
176_B,63512,9147,-1,-1,,,,,,,
176_T,662,3000,-1,-1,,,,,,,
180_L,49483,60425,53871,http://philamuseum.org/images/cad/mediaDecks/1952-61-124-CX.jpg,,,,,,Modern and contemporary Art,
180_R,19178,62094,-1,-1,,,,,,,
181_L,21053,37446,82065,http://philamuseum.org/images/cad/mediaDecks/1985-93-1.jpg,,,,,,Modern and Contemporary,
181_R,26924,21561,-1,-1,,,,,,,
182_B_L,31784,4976,-1,-1,,,,,,,
182_B_R,13383,26589,-1,-1,,,,,,,
182_T_L,55858,13117,-1,-1,,,,,,,
182_T_R,42762,55435,-1,-1,,,,,,,
185_T,27039,31683,-1,-1,,,,,,,
188_B_R,27781,55231,-1,-1,,,,,,,
